title,author,price,publisher,page_count,generes,ISBN
Civil War: Volume 1,Mark Millar,51.16,Marvel Entertainment,208,"Comics , Graphic Novels , Superheroes",9780790000000 
The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,62.1,Penguin,336,General,9781100000000 
The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,98.42,Hachette UK,384,"Fiction , Thrillers , Suspense",9781470000000 
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,50.25,HarperCollins,304,"Business , Economics , Industries , Computers , Information Technology",9780060000000 
After Anna,Alex Lake,20.51,HarperCollins UK,416,General,9780010000000 
The Art Of Seduction,Robert Greene,74.99,Profile Books,272,"Self-Help , Personal Growth , General",9781850000000 
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,592,"Business , Economics , Industries , General",9781420000000 
Marketing (The Brian Tracy Success Library),Brian Tracy,29.4,AMACOM,112,"Business , Economics , Marketing , General",9780810000000 
Furies of Calderon,Jim Butcher,14.29,Penguin,672,General,9781440000000 
The Art Of Seduction,Robert Greene,74.99,Profile Books,272,"Family , Relationships , General",9781850000000 
The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,704,"Fiction , Fantasy , Epic",9781430000000 
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,3.9,Harper Collins,224,"Business , Economics , Motivational",9780060000000 
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,88.06,HarperCollins UK,4544,General,9780010000000 
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,720,"Fiction , Fantasy , Epic",9780550000000 
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,720,"Fiction , Science Fiction , Action , Adventure",9780550000000 
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,576,"Self-Help , Personal Growth , General",9781470000000 
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0,Simon and Schuster,320,"Fiction , Mystery , Detective , Private Investigators",9781480000000 
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,23.85,Penguin,240,"Self-Help , Personal Growth , Self-Esteem",9781100000000 
Influence: The Psychology of Persuasion,Robert B. Cialdini,56.14,Harper Collins,336,General,9780060000000 
Bring Me Back,B A Paris,30.71,HarperCollins UK,368,"Fiction , Thrillers , Crime",9780010000000 
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,96.12,Harper Collins,320,"Business , Economics , Management",9780060000000 
